year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice
2015,Kia,Sorento,LX,SUV,automatic,5xyktca60fg563086,ca,5,16348,gray,gray,kia motors america  inc,20500,20500
2013,Hyundai,Santa Fe,Limited,SUV,automatic,km8sr4hf1du031590,ca,5,15160,blue,gray,hyundai buybacks,23100,22200
2013,Hyundai,Santa Fe,Limited,SUV,automatic,km8srdhf0du002596,ca,5,14974,white,gray,hyundai buybacks,28300,27000
2015,Kia,Sorento,LX,SUV,automatic,5xyktca66fg561407,ca,5,14634,silver,black,kia motors america  inc,20600,21500
2015,Kia,Sorento,LX,SUV,automatic,5xyktca6xfg560888,ca,5,14176,white,black,kia motors america  inc,20600,21250
2015,Kia,Sorento,LX,SUV,automatic,5xyktca67fg570973,ca,5,13878,silver,black,kia motors america  inc,20600,20750
2015,Kia,Sorento,LX,SUV,automatic,5xyktca60fg565226,ca,5,13757,red,black,kia motors america  inc,20600,20750
2013,Hyundai,Santa Fe,Limited,SUV,automatic,km8srdhf8du000644,ca,5,11439,white,brown,hyundai motor america/co car,28500,30800
2015,Kia,Sorento,LX,SUV,automatic,5xyktca65fg571619,ca,5,11001,white,black,kia motors america  inc,20700,22500
2013,Hyundai,Santa Fe,Sport 2.0T,SUV,automatic,5xyzwdla8dg094937,ca,5,10747,black,black,hyundai motor america/co car,19850,25800
2015,Kia,Sorento,LX,SUV,automatic,5xyktca60fg570829,ca,5,10615,burgundy,black,kia motors america  inc,20700,20500
2015,Kia,Sorento,LX,SUV,automatic,5xyktca69fg561319,ca,5,9393,white,beige,kia motors america  inc,20800,21500
2013,Nissan,Rogue,SV,SUV,automatic,jn8as5mt9dw016463,ca,5,7794,white,black,nissan motor acceptance corporation,16450,18250
2013,Jaguar,XF,Base,Sedan,automatic,sajwa0es4dps64029,ca,5,6891,blue,gray,jaguar north america llc,34100,26000
2014,Chevrolet,Equinox,LTZ,SUV,automatic,2gnflde3xe6262514,ca,5,5720,black,black,repo remarketing/skyone fcu,24400,24000
2015,Kia,Sorento,LX,SUV,automatic,5xykt3a62fg579841,ca,5,5214,white,black,kia motors finance,19400,19300
2013,Toyota,Camry,XLE,Sedan,automatic,4t1bk1fk0du529833,ca,5,2575,black,gray,the car exchange,21800,22000
2012,Ford,Fiesta,SE,Sedan,automatic,3fadp4bj9cm105802,ca,5,2308,gray,black,ford motor credit company llc,10100,10500
2014,Chevrolet,Camaro,LS,Coupe,automatic,2g1fa1e39e9134494,ca,17,13441,black,black,wells fargo dealer services,17750,17000
2012,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pg5sc3c7127456,ca,19,76900,white,black,california fleet inc,8475,5600
2012,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,automatic,4jgbf7be8ca778985,ca,19,64548,gray,black,the hertz corporation,25600,23500
2012,Honda,Civic,LX,Sedan,automatic,19xfb2f56ce392156,ca,19,63540,gray,gray,ahfc/honda lease trust/hvt  inc.,9825,4300
2012,Chevrolet,Impala,LT Fleet,Sedan,automatic,2g1wg5e34c1315374,ca,19,62053,black,black,the hertz corporation,9075,7100
2012,Nissan,Sentra,2,Sedan,automatic,3n1ab6ap4cl679178,ca,19,61044,blue,gray,remarketing by ge/flagship credit acceptance,8600,5000
2009,Nissan,Versa,1.8 SL,Hatchback,automatic,3n1bc13e39l418357,ca,19,59665,blue,beige,santander consumer,5850,4500
2012,Chevrolet,Malibu,LT,Sedan,automatic,1g1zd5e03cf127398,ca,19,58457,white,gray,santander consumer,9750,7200
2010,BMW,7 Series,750Li,Sedan,automatic,wbakb8c56acy63438,ca,19,57943,white,gray,financial services remarketing (lease),28800,30750
2012,Nissan,Maxima,3.5 S,Sedan,automatic,1n4aa5ap0cc842808,ca,19,57933,blue,black,the hertz corporation,15100,10000
2010,Ford,Focus,SE,Sedan,automatic,1fahp3fn9aw264406,ca,19,57155,green,tan,jpmorgan chase bank n.a.,6925,6100
2011,Nissan,Sentra,2.0 SR,Sedan,automatic,3n1ab6ap1bl719179,ca,19,48887,silver,gray,wells fargo dealer services,7950,7800
2012,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4aexcu180690,ca,19,47843,blue,beige,santander consumer,9675,8000
2012,Dodge,Journey,SXT,SUV,automatic,3c4pdcbgxct207887,ca,19,46816,silver,black,wheels exchange llc,12350,14400
2011,Toyota,Corolla,S,Sedan,automatic,2t1bu4ee2bc652586,ca,19,45957,silver,black,tycon enterprises,10500,11100
2011,Jaguar,XF,Premium,Sedan,automatic,sajwa0gb8blr97623,ca,19,45065,black,black,jpmorgan chase bank n.a.,24600,19750
2012,Ford,Explorer,Base,SUV,automatic,1fmhk7b83cga31940,ca,19,44896,black,tan,galpin ford studio rentals,16550,19250
2011,Toyota,Corolla,LE,Sedan,automatic,jtdbu4ee8bj096062,ca,19,44409,gray,gray,aaero sweet company,9675,9250
2012,Hyundai,Elantra,Limited,Sedan,automatic,5npdh4ae1ch094702,ca,19,44225,black,gray,wells fargo dealer services,11700,10600
2012,Toyota,Corolla,L,Sedan,automatic,2t1bu4ee7cc756752,ca,19,42726,silver,gray,the hertz corporation,9400,9700
2011,Honda,Accord,EX-L,Sedan,automatic,1hgcp2f88ba094631,ca,19,40757,gray,black,remarketing by ge/manheim southern california,13850,11600
2012,Hyundai,Accent,GLS,Sedan,automatic,kmhcu4ae2cu137324,ca,19,40558,blue,gray,hyundai motor finance,8100,7900
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap9cc126546,ca,19,37887,white,black,nissan-infiniti lt,12050,19000
2012,Honda,Accord,SE,Sedan,automatic,1hgcp2f63ca099106,ca,19,35287,silver,black,ahfc/honda lease trust/hvt  inc. eot,13150,12800
2012,Toyota,RAV4,Sport,SUV,automatic,jtmwf4dv4c5043639,ca,19,35166,gray,black,800 loan mart,17400,8200
2012,Honda,Accord,LX-S,Coupe,automatic,1hgcs1b33ca001860,ca,19,32635,black,black,ahfc/honda lease trust/hvt  inc. eot,12700,12100
2012,Honda,Pilot,LX,SUV,automatic,5fnyf3h23cb003554,ca,19,31884,gray,gray,ahfc/honda lease trust/hvt  inc.,18100,13900
2012,Honda,Accord,SE,Sedan,automatic,1hgcp2f68ca026944,ca,19,31377,gray,black,ahfc/honda lease trust/hvt  inc. eot,13150,12500
2011,BMW,3 Series,328i,Coupe,automatic,wbake3c58be558295,ca,19,29939,red,tan,financial services remarketing (lease),20500,17000
2012,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dd6cu193175,ca,19,29454,black,black,the hertz corporation,19300,14400
2011,Mercedes-Benz,C-Class,C300 Sport,Sedan,automatic,wddgf5eb5ba528737,ca,19,29355,black,black,mercedes-benz usa,20000,16250
2012,Honda,Civic,LX,Coupe,automatic,2hgfg3b53ch552626,ca,19,29149,silver,beige,ahfc/honda lease trust/hvt  inc.,10900,7500
2012,Honda,Accord,SE,Sedan,automatic,1hgcp2f64ca036502,ca,19,24169,gray,black,ahfc/honda lease trust/hvt  inc. eot,13950,13300
2013,Kia,Rio,LX,Sedan,manual,knadm4a35d6233930,ca,19,22658,white,beige,tdaf remarketing,9225,5500
2010,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1cv6afb77382,ca,19,19591,blue,beige,us bank,20200,11000
2012,Honda,Civic,EX,Coupe,automatic,2hgfg3b83ch516834,ca,19,19340,red,gray,ahfc/honda lease trust/hvt  inc. eot,12950,11200
2011,Honda,Accord,LX-P,Sedan,automatic,1hgcp2f48ba157076,ca,19,16545,black,beige,ahfc/honda lease trust/hvt  inc. eot,12700,11000
2012,Honda,Civic,EX-L,Sedan,automatic,19xfb2f90ce329122,ca,19,14958,gray,gray,ahfc/honda lease trust/hvt  inc. eot,14150,12800
2015,Chevrolet,Impala,LTZ,Sedan,automatic,2g1165s30f9103921,ca,19,14538,silver,black,enterprise vehicle exchange / tra / rental / tulsa,24300,7200
2012,Honda,Accord,SE,Sedan,automatic,1hgcp2f69ca039766,ca,19,14528,black,gray,ahfc/honda lease trust/hvt  inc. eot,13950,14000
2011,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae6bh044442,ca,21,73792,silver,gray,exeter finance corp,8050,8000
2013,Nissan,Rogue,S,SUV,automatic,jn8as5mv6dw607187,ca,21,67280,gray,black,the hertz corporation,12600,11000
2011,Nissan,Sentra,2,Sedan,automatic,3n1ab6ap9bl680826,ca,21,66588,gray,black,santander consumer,7975,7100
2012,Toyota,Corolla,LE,Sedan,automatic,5yfbu4ee9cp048910,ca,21,60316,white,gray,the hertz corporation,9450,8300
2011,BMW,5 Series,550i,Sedan,automatic,wbafr9c51bde81867,ca,21,58778,white,black,remarketing by ge/manheim riverside,27900,26250
2011,BMW,3 Series,328i,Coupe,automatic,wbake5c50be754954,ca,21,49662,gray,black,financial services remarketing (lease),18900,18000
2012,Dodge,Avenger,SE,Sedan,automatic,1c3cdzabxcn259189,ca,21,49312,gray,black,dtg operations inc,8550,7000
2011,Ford,F-150,FX2,SuperCab,automatic,1ftfx1cf0bkd19577,ca,21,48577,black,black,remarketing by ge/flagship credit acceptance,19100,14250
2012,Honda,Civic,LX,Coupe,automatic,2hgfg3b52ch516894,ca,21,44061,blue,gray,ahfc/honda lease trust/hvt  inc. eot,10400,9700
2012,Honda,Civic,LX,Sedan,automatic,2hgfb2f58ch316749,ca,21,42543,silver,beige,ahfc/honda lease trust/hvt  inc. eot,10700,11000
2011,Jeep,Compass,Base,SUV,automatic,1j4nt1fb2bd194404,ca,21,38995,silver,black,all county leasing inc,10350,7750
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap8cc139112,ca,21,34994,White,black,nissan-infiniti lt,12350,11100
2012,Honda,Civic,EX,Sedan,automatic,2hgfb2f80ch320417,ca,21,32403,gray,gray,ahfc/honda lease trust/hvt  inc. eot,12300,11500
2012,Nissan,Maxima,3.5 S,Sedan,automatic,1n4aa5ap5cc825311,ca,21,30786,black,black,nissan motor acceptance corporation,17100,15000
2012,BMW,5 Series,528i xDrive,Sedan,automatic,wbaxh5c54cdw07718,ca,21,29808,black,black,financial services remarketing (lease),30500,26500
2012,Mercedes-Benz,E-Class,E350,Convertible,automatic,wddkk5kf3cf164464,ca,21,29315,gray,black,the hertz corporation,33800,28500
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2apxcn403077,ca,21,26220,white,tan,nissan-infiniti lt,12950,10750
2012,Honda,Accord,SE,Sedan,automatic,1hgcp2f65ca058119,ca,21,25626,black,black,ahfc/honda lease trust/hvt  inc. eot,13600,13100
2013,Hyundai,Sonata Hybrid,Limited,Sedan,automatic,kmhec4a40da089523,ca,21,11099,silver,gray,hyundai motor america/co car,19650,16500
2012,Mercedes-Benz,M-Class,ML350 4MATIC,SUV,automatic,4jgda5hb6ca044788,ca,22,42503,gray,black,fletcher jones motorcars,33700,29750
2011,Honda,CR-V,LX,SUV,automatic,5j6re3h39bl060928,ca,22,39743,gray,gray,ahfc/honda lease trust/hvt  inc. eot,13450,12600
2012,Honda,Civic,EX,Sedan,automatic,19xfb2f89ce349795,ca,22,35823,black,gray,ahfc/honda lease trust/hvt  inc. eot,12150,11200
2012,Chevrolet,Cruze,LS,Sedan,automatic,1g1pc5sh1c7277640,ca,22,34564,silver,black,gm financial,9000,7900
2012,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac7ch368554,ca,22,28181,white,beige,hyundai motor finance,11500,10200
2013,Kia,Optima,LX,Sedan,automatic,5xxgm4a72dg248132,ca,22,14061,black,gray,kia motors finance,14150,11700
2012,Honda,Civic,LX,Sedan,automatic,jhmfb2f56cs005438,ca,23,71774,gray,beige,ahfc/honda lease trust/hvt  inc. eot,9600,8900
2011,Hyundai,Sonata,SE,Sedan,automatic,5npec4ac3bh044254,ca,23,70093,black,black,exeter finance corp,10150,10300
2010,Honda,Civic,LX,Sedan,automatic,19xfa1f59ae036813,ca,23,64175,white,beige,jpmorgan chase bank n.a.,8525,8100
2011,Mercedes-Benz,C-Class,C350 Sport,Sedan,automatic,wddgf5gb8br137130,ca,23,62492,black,black,aaero sweet company,18200,19750
2011,Honda,Civic,LX-S,Sedan,automatic,2hgfa1f69bh537426,ca,23,60305,silver,black,ahfc/honda lease trust/hvt  inc.,9375,8600
2009,Mercedes-Benz,M-Class,ML350 4MATIC,SUV,automatic,4jgbb86e49a529958,ca,23,59751,black,black,high bid trading co inc,19500,19000
2011,Toyota,Corolla,LE,Sedan,automatic,2t1bu4eexbc547732,ca,23,53157,gray,gray,toyota financial services,9300,8800
2011,Ford,Fiesta,SEL,Sedan,automatic,3fadp4cj9bm121964,ca,23,49543,black,black,larry h miller toyota corona,8400,5000
2011,Chevrolet,Traverse,LT1,SUV,automatic,1gnkrgedxbj297690,ca,23,48114,silver,gray,dtg operations inc,14950,14200
2010,BMW,3 Series,328i,Coupe,automatic,wbawv1c50ap123957,ca,23,47318,white,black,santander consumer,14800,14400
2013,Kia,Optima,SX,Sedan,automatic,5xxgr4a61dg171696,ca,23,38247,red,black,kia motors finance,19850,17000
2011,Ford,Edge,SEL,SUV,automatic,2fmdk3jc7bbb29890,ca,23,37826,black,tan,ford motor credit company llc,17800,17300
2012,Honda,Accord,LX,Sedan,automatic,1hgcp2f32ca095277,ca,23,32212,gray,gray,ahfc/honda lease trust/hvt  inc. eot,12400,12300
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap3cc259271,ca,23,31702,silver,black,remarketing by ge/manheim california,11350,10250
2012,Honda,Accord,LX,Sedan,automatic,1hgcp2f36ca040749,ca,23,19873,black,tan,ahfc/honda lease trust/hvt  inc. eot,12750,12700
2011,Nissan,Sentra,2.0 SL,Sedan,automatic,3n1ab6ap8bl698511,ca,24,80429,black,black,west coast acceptance,6900,8300
2011,Hyundai,Sonata,Limited,Sedan,automatic,5npec4ac6bh009126,ca,24,71195,silver,gray,exeter finance corp,11500,10000
2010,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl3h60ab063188,ca,24,68318,black,gray,eddies memories,14700,13250
2009,Toyota,Corolla,LE,Sedan,automatic,1nxbu40ex9z145063,ca,24,67321,silver,gray,h & h japanese auto sales llc,7500,7250
2012,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,automatic,4jgbf7bexca779751,ca,24,59940,black,black,the hertz corporation,27300,25000
2011,Honda,Pilot,EX,SUV,automatic,5fnyf3h49bb051429,ca,24,58762,black,gray,wells fargo dealer services,15600,18200
2010,Audi,A4,2.0T Premium,Sedan,automatic,wauefafl7an010036,ca,24,47473,black,beige,audi north scottsdale,15250,15000
2012,Honda,Civic,EX,Sedan,automatic,19xfb2f86ce382348,ca,24,47076,white,gray,ahfc/honda lease trust/hvt  inc.,11550,10600
2012,Honda,Civic,LX,Sedan,automatic,19xfb2f55ce326262,ca,24,36218,black,gray,ahfc/honda lease trust/hvt  inc. eot,10950,10600
2013,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae4du797598,ca,24,35963,black,gray,hyundai motor finance,11500,11500
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap5dc262583,ca,24,35591,gray,black,merchants leasing,13600,12700
2012,Ford,Escape,Limited,SUV,automatic,1fmcu0eg8cka50169,ca,24,35488,gray,black,premium auto wholesale,16000,14000
2012,Nissan,Armada,SV,SUV,automatic,5n1aa0nc3cn607033,ca,24,33829,gray,black,the hertz corporation,25500,24000
2011,BMW,3 Series,328i,Convertible,automatic,wbadw7c50be728159,ca,24,31572,white,White,financial services remarketing (lease),25800,23500
2011,Toyota,Corolla,LE,Sedan,automatic,2t1bu4ee7bc628588,ca,25,81105,gray,gray,nextgear capital,8075,7500
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap7cn400752,ca,25,77489,blue,black,balboa thrift & loan association,9125,8000
2012,Ford,Mustang,V6,Convertible,automatic,1zvbp8em4c5286471,ca,25,63964,white,White,the hertz corporation,10550,9000
2012,Ford,Taurus,SEL,Sedan,automatic,1fahp2ew8cg143769,ca,25,55817,gray,beige,ford motor credit company llc pd,13250,10600
2012,Honda,Pilot,EX,SUV,automatic,5fnyf3h42cb032027,ca,25,51201,gray,gray,california fleet inc,18900,17000
2011,Ford,Escape,XLT,SUV,automatic,1fmcu0d71bka27879,ca,25,48990,black,tan,santander consumer,11050,10200
2011,Dodge,Grand Caravan,Express,Minivan,automatic,2d4rn4dg4br732845,ca,25,41605,white,black,myrddin fleet services,9925,8100
2012,Hyundai,Sonata,Limited,Sedan,automatic,5npec4ab3ch424574,ca,25,40057,black,black,hyundai motor finance,15250,14400
2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4acxdh745962,ca,25,40045,white,beige,avis corporation,11900,12300
2011,Jaguar,XJ,Base,Sedan,automatic,sajwa1cb7blv08835,ca,25,39932,gray,gray,jpmorgan chase bank n.a.,33300,33500
2010,Toyota,Corolla,LE,Sedan,automatic,jtdbu4ee8a9117993,ca,25,38491,silver,gray,wells fargo dealer services,8850,11100
2012,Ford,Fiesta,SES,Hatchback,automatic,3fadp4fj9cm137823,ca,25,38159,white,black,star ford lincoln,9250,5500
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2apxcn433082,ca,25,35691,gray,black,nissan-infiniti lt,12300,10500
2012,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc1cp0ck808394,ca,25,32712,silver,black,exeter finance corp,8750,8100
2011,Kia,Optima,LX,Sedan,automatic,knagm4a70b5153082,ca,25,26595,black,gray,kia motors finance,11250,9500
2012,Honda,Civic,LX,Coupe,automatic,2hgfg3b54ch527833,ca,25,25315,white,gray,ahfc/honda lease trust/hvt  inc. eot,11250,10900
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap9cn405239,ca,25,21756,White,black,nissan-infiniti lt,13250,11250
2012,Honda,Accord,LX,Sedan,automatic,1hgcp2f37ca036323,ca,25,20370,silver,gray,ahfc/honda lease trust/hvt  inc.,12550,12200
2011,Chevrolet,Impala,LS Fleet,Sedan,automatic,2g1wf5ek3b1251790,ca,26,79243,gray,gray,santander consumer,7225,8100
2012,Kia,Forte,EX,Sedan,automatic,knafu4a20c5501478,ca,26,77875,gray,gray,santander consumer,7275,6500
2012,Honda,Civic,LX,Sedan,automatic,19xfb2f58ce307205,ca,26,73995,gray,gray,ahfc/honda lease trust/hvt  inc. eot,9350,8900
2012,Ford,Escape,XLT,SUV,automatic,1fmcu9dg3ckb92323,ca,26,70977,silver,black,the hertz corporation,12050,11200
2012,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg4cr274826,ca,26,63821,white,beige,dtg operations inc,10450,10100
2010,Kia,Optima,LX,Sedan,automatic,knagg4a80a5372641,ca,26,57354,black,gray,tycon enterprises,6825,7250
2012,Honda,Civic,LX,Coupe,automatic,2hgfg3b50ch530888,ca,26,56731,black,gray,ahfc/honda lease trust/hvt  inc.,10000,9100
2013,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae9du490167,ca,26,56651,red,beige,hyundai motor finance,10250,10700
2012,Nissan,Rogue,S,SUV,automatic,jn8as5mt0cw251381,ca,26,56424,silver,black,nissan motor acceptance corporation,15200,12250
2012,Hyundai,Elantra,Limited,Sedan,automatic,kmhdh4ae4cu263001,ca,26,56172,black,black,hyundai motor finance,10850,11000
2012,Ford,Focus,SEL,Hatchback,automatic,1fahp3m26cl429227,ca,26,54322,black,black,ford motor credit company llc,9650,7600
2011,Toyota,Camry,LE,Sedan,automatic,4t4bf3ek7br162238,ca,26,49997,white,gray,skyhigh remarketing inc,10850,10750
2011,Nissan,Altima,2.5,Sedan,automatic,1n4al2ap1bn465000,ca,26,49171,black,black,nissan-infiniti lt,10700,12500
2011,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap7bc177462,ca,26,47287,red,black,the hertz corporation,10100,10000
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap8cn467277,ca,26,41233,white,gray,the hertz corporation,11000,10400
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap1cn460655,ca,26,40281,white,beige,the hertz corporation,11000,11250
2011,Audi,A4,2.0T Premium,Sedan,automatic,wauafafl9bn013374,ca,26,34058,black,black,high bid trading co inc,17100,16000
2012,Ford,Mustang,V6,Coupe,automatic,1zvbp8am9c5266559,ca,26,32535,black,black,ford motor credit company llc pd,13600,11500
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap9cn412028,ca,26,29636,white,black,nissan-infiniti lt,12700,10750
2011,Toyota,Camry,LE,Sedan,automatic,4t4bf3ek1br116677,ca,26,27957,white,gray,jordan auto,12050,11000
2011,Chevrolet,Traverse,LT2,SUV,automatic,1gnkrjed2bj415308,ca,26,25305,silver,gray,fiserv/usb dealer services northstar exchange,19150,18500
2012,Honda,Accord,SE,Sedan,automatic,1hgcp2f64ca037696,ca,26,24390,black,black,ahfc/honda lease trust/hvt  inc. eot,13500,13000
2012,Honda,Accord,LX-P,Sedan,automatic,1hgcp2f44ca017057,ca,26,24318,white,gray,ahfc/honda lease trust/hvt  inc. eot,12850,12300
2012,Honda,Civic,LX,Sedan,automatic,2hgfb2f5xch584427,ca,26,21036,gray,gray,myrddin fleet services,11850,11300
2013,Kia,Rio,LX,Sedan,automatic,knadm4a34d6310898,ca,26,13508,white,black,exeter finance corp,9475,7500
2010,Ford,Focus,SE,Sedan,automatic,1fahp3fn7aw200252,ca,27,80880,red,black,a l financial corporation,5950,6100
2010,Honda,Odyssey,LX,Minivan,automatic,5fnrl3h27ab080213,ca,27,79116,white,tan,high bid trading co inc,9825,12500
2010,Chevrolet,Traverse,LT2,SUV,automatic,1gnlrged5aj210202,ca,27,78175,beige,black,exeter finance corp,13900,12900
2011,Chevrolet,Malibu,LS,Sedan,automatic,1g1zb5e14bf326361,ca,27,75551,white,gray,a l financial,7825,6500
2011,Toyota,Avalon,Base,Sedan,automatic,4t1bk3db2bu404344,ca,27,74871,White,beige,ge fleet services for itself/servicer,15450,12500
2009,Mercedes-Benz,M-Class,ML350 4MATIC,SUV,automatic,4jgbb86e29a465998,ca,27,71108,silver,black,dublin honda,18700,18500
2012,Nissan,Armada,SV,SUV,automatic,5n1aa0ne1cn611292,ca,27,70973,black,black,nissan motor acceptance corporation,28800,26000
2010,Chevrolet,Camaro,LS,Coupe,automatic,2g1fa1ev5a9196759,ca,27,65404,silver,black,fratelli investment group,12050,13500
2010,Honda,Civic,DX-VP,Sedan,automatic,19xfa1f36ae009695,ca,27,65214,blue,gray,jpmorgan chase bank n.a.,8250,8800
2010,Dodge,Charger,SXT Fleet,Sedan,automatic,2b3ca3cv1ah307355,ca,27,64682,black,black,repo remarketing/first imperial cu,10050,11300
2012,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,automatic,4jgbf7be5ca780127,ca,27,60867,black,black,the hertz corporation,27100,26500
2012,Chevrolet,Cruze,LT Fleet,Sedan,automatic,1g1pe5sc8c7272918,ca,27,60360,white,black,jpmorgan chase bank n.a.,8300,8800
2013,Kia,Forte,EX,Sedan,automatic,knafu4a22d5724414,ca,27,55885,gray,black,caprock auto remarketing,9175,8800
2012,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,automatic,4jgbf7bexca782696,ca,27,55050,gray,black,the hertz corporation,28700,27900
2011,BMW,5 Series,535i,Sedan,automatic,wbafr7c52bc807666,ca,27,47803,gray,White,financial services remarketing (lease),27600,26000
2011,Nissan,Leaf,SV,Hatchback,automatic,jn1az0cp5bt007761,ca,27,43943,black,gray,nissan-infiniti lt,9200,8500
2012,Chevrolet,Impala,LT Fleet,Sedan,automatic,2g1wg5e36c1103821,ca,27,43706,white,gray,california rent-a-car & leasing,10000,8300
2011,Mercedes-Benz,C-Class,C300 Sport,Sedan,automatic,wddgf5eb7br149837,ca,27,43589,white,beige,jpmorgan chase bank n.a.,18300,15500
2011,Jaguar,XK,Base,Convertible,automatic,sajwa4gb2blb39607,ca,27,43065,black,black,jpmorgan chase bank n.a.,34400,33500
2011,Nissan,Murano,LE,SUV,automatic,jn8az1mu8bw066135,ca,27,40171,blue,black,nissan-infiniti lt,16750,19000
2010,Audi,A4,2.0T Premium,Sedan,automatic,waujfafh9an010694,ca,27,38136,blue,black,high bid trading co inc,22600,22500
2011,Nissan,Rogue,SV,SUV,automatic,jn8as5mt4bw577506,ca,27,36296,black,black,nissan-infiniti lt,15000,13750
2012,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae8cu392715,ca,27,35970,silver,gray,hyundai motor finance,10250,10700
2011,BMW,3 Series,335i,Sedan,automatic,wbapm5c54be577799,ca,27,34599,black,tan,a and a auto mart inc,25100,21700
2012,BMW,5 Series,535i,Sedan,automatic,wbafr7c59cc808346,ca,27,33760,gray,black,financial services remarketing (lease),34200,32750
2013,Jeep,Compass,Latitude,SUV,automatic,1c4njceb7dd255239,ca,27,31688,red,black,exeter finance corp,12650,13000
2011,BMW,3 Series,328i,Coupe,automatic,wbake5c54be755489,ca,27,30517,black,black,financial services remarketing (lease),20500,19750
2011,Chevrolet,Equinox,LT1,SUV,automatic,2cnaldec1b6444564,ca,27,29994,gray,gray,bank of the west,14750,12500
2013,Nissan,Sentra,S,Sedan,automatic,3n1ab7ap2dl563260,ca,27,29258,white,beige,santander consumer,11650,10500
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c50ce729202,ca,27,26285,gray,gray,financial services remarketing (lease),28800,26500
2012,BMW,3 Series,328i,Coupe,automatic,wbake5c56ce755978,ca,27,18057,white,black,financial services remarketing (lease),23000,22250
2009,BMW,X5,xDrive48i,SUV,automatic,5uxfe83559l170334,ca,28,79957,black,black,remarketing by ge/manheim california,19400,18750
2011,BMW,5 Series,528i,Sedan,automatic,wbafr1c51bc260869,ca,28,79848,blue,brown,bmw of murrieta,20700,20800
2009,Honda,Accord,EX,Sedan,automatic,1hgcp26779a158269,ca,28,78127,gray,gray,wells fargo dealer services,9575,11000
2012,Nissan,Sentra,2,Sedan,automatic,3n1ab6ap5cl694787,ca,28,76716,white,gray,california republic bank,7575,7400
2012,Honda,Civic,EX,Sedan,automatic,2hgfb2f83ch522507,ca,28,65969,black,beige,repo remarketing/central state credit union,10500,11100
2012,Ford,Fusion,SE,Sedan,automatic,3fahp0ha3cr291860,ca,28,62752,white,gray,dtg operations inc,9525,9800
2010,Honda,Odyssey,LX,Minivan,automatic,5fnrl3h29ab037556,ca,28,62522,gray,gray,aaero sweet company,10750,13000
2012,Chevrolet,Cruze,Eco,Sedan,manual,1g1pk5scxc7100916,ca,28,62380,charcoal,gray,west coast acceptance,8250,8200
2012,Nissan,Altima,2.5,Sedan,automatic,1n4al2ap1cn482459,ca,28,59724,white,black,the hertz corporation,10750,10600
2011,Nissan,Altima,2.5,Sedan,automatic,1n4al2ap1bn501932,ca,28,55991,blue,black,nissan-infiniti lt,10300,10500
2012,BMW,3 Series,328i,Sedan,automatic,wba3a5c51cf256869,ca,28,54355,gray,black,walters auto sales/service inc,22000,22000
2012,Mercedes-Benz,M-Class,ML350 BlueTEC,SUV,automatic,4jgda2eb1ca025472,ca,28,53595,white,black,mercedes benz of ontario,33200,32000
2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk6cu084288,ca,28,52277,black,black,toyota financial services,13550,12900
2011,Chevrolet,Silverado 2500HD,Work Truck,Crew Cab,automatic,1gc1kvcg9bf233833,ca,28,51189,white,black,merchants automotive group,21200,22750
2013,Toyota,Corolla,LE,Sedan,automatic,5yfbu4eexdp143851,ca,28,50451,blue,gray,onemain rem/coast to coast auto group,10500,10500
2013,Kia,Soul,+,Wagon,automatic,kndjt2a60d7538561,ca,28,48270,black,black,exeter finance corp,11250,11000
